task_id,difficulty,expected_mode,routed_mode,route_match,e2e_success,b2_status,b2_csim,b2_synth,b2_cosim,clock_100mhz,baseline_latency,candidate_latency,raw_acceleration,capped_acceleration,official_score,public_validation_proxy_score,requires_cosim
expanded_optimize_01,3,OPTIMIZE,OPTIMIZE,True,True,PASS,PASS,PASS,PASS,PASS,18,1,18.0,8.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,3.0,False
expanded_optimize_02,3,OPTIMIZE,OPTIMIZE,True,True,PASS,PASS,PASS,PASS,PASS,39,15,2.6,2.6,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.3925,False
expanded_optimize_03,3,OPTIMIZE,OPTIMIZE,True,True,PASS,PASS,PASS,PASS,PASS,34,34,1.0,1.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.2125,False
expanded_repair_01,2,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
expanded_repair_02,2,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
expanded_repair_03,2,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
expanded_repair_04,2,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
expanded_repair_05,2,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
expanded_structural_01,4,STRUCTURAL_FIX,STRUCTURAL_FIX,True,True,PASS,PASS,PASS,PASS,PASS,39,39,1.0,1.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.95,True
expanded_structural_02,4,STRUCTURAL_FIX,STRUCTURAL_FIX,True,True,PASS,PASS,PASS,PASS,PASS,39,39,1.0,1.0,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.95,True
expanded_structural_03,4,STRUCTURAL_FIX,STRUCTURAL_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.8,True
expanded_structural_04,4,STRUCTURAL_FIX,STRUCTURAL_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.8,True
expanded_structural_05,4,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,19,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.8,True
expanded_structural_06,4,STRUCTURAL_FIX,STRUCTURAL_FIX,True,True,PASS,PASS,PASS,PASS,PASS,60,19,3.1578947368421053,3.1578947368421053,NOT_EXECUTED_NO_HIDDEN_RECEIPT,3.2737,True
expanded_synth_01,3,SYNTH_FIX,SYNTH_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.1,False
expanded_synth_02,3,SYNTH_FIX,SYNTH_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.1,False
expanded_synth_03,3,SYNTH_FIX,SYNTH_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.1,False
expanded_synth_04,3,SYNTH_FIX,SYNTH_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.1,False
v3d_fast_001,1,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,0.7,False
v3d_fast_002,1,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,0.7,False
v3d_fast_003,1,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,0.7,False
v3d_fast_004,2,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,10,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
v3d_fast_005,2,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,14,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
v3d_fast_006,2,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,47,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
v3d_fast_007,2,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
v3d_fast_008,2,REPAIR,REPAIR,True,True,PASS,PASS,PASS,PASS,PASS,,34,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
v3d_fast_009,2,SYNTH_FIX,SYNTH_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
v3d_fast_010,3,SYNTH_FIX,SYNTH_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.1,False
v3d_fast_011,3,SYNTH_FIX,SYNTH_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,18,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,2.1,False
v3d_fast_012,2,SYNTH_FIX,SYNTH_FIX,True,True,PASS,PASS,PASS,PASS,PASS,,76,,,NOT_EXECUTED_NO_HIDDEN_RECEIPT,1.4,False
